addr,timestamp,response time,bytes
192.168.0.199,1520698621,236,3475
192.168.0.88,15206986234,220,3200
192.168.0.199,152069884754,226,3200
192.168.0.100,1625242342,218,3200
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
192.168.0.199,1625242345,238,3228
